file	product	site	LOG
NA	NA	NA	SNPGenie initiated at local time Wed Aug  7 15:48:49 2019
temp_vcf4_GD3_ferret12_day3.vcf	NA	410	Variant 'G' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_ferret12_day3.vcf	NA	1324	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_ferret12_day3.vcf	NA	1497	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_ferret12_day3.vcf	NA	N/A	A total of 3 variants have been excluded because they fall below the minimum minor allele frequency
temp_vcf4_GD3_ferret12_day3.vcf	HA	410	Variant 'G' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_ferret12_day3.vcf	HA	1324	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_ferret12_day3.vcf	HA	1497	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_ferret12_day3.vcf	HA	N/A	A total of 3 variants have been excluded because they fall below the minimum minor allele frequency
NA	NA	NA	SNPGenie completed at local time Wed Aug  7 15:49:08 2019. The process took 19.00 secs, i.e., 0 mins and 19.00 secs
